Feature,Before,After
199 , 237.51 , 216.008450885
200 , 237.63 , 216.008450885
201 , 237.7 , 216.008723551
202 , 237.89 , 216.008723551
203 , 237.9 , 216.011845079
204 , 238.2 , 216.011845079
205 , 238.23 , 216.011845079
206 , 238.27 , 216.011845079
207 , 238.56 , 216.011845079
208 , 238.74 , 216.011845079
209 , 238.75 , 216.011845079
210 , 238.82 , 216.011845079
211 , 239.37 , 216.067116738
212 , 239.5 , 216.067116738
213 , 239.59 , 216.502696763
214 , 239.96 , 216.506660937
215 , 240.35 , 216.506660937
216 , 240.43 , 217.003802925
217 , 241.23 , 217.003802925
218 , 241.78 , 217.003802925
219 , 243.79 , 217.003802925
220 , 243.81 , 217.003802925
221 , 243.83 , 217.003802925
222 , 243.93 , 217.012524579
223 , 244.12 , 217.012524579
224 , 244.85 , 217.012524579
225 , 244.92 , 217.012524579
226 , 245.21 , 217.012524579
227 , 245.5 , 217.012524579
228 , 245.56 , 217.012524579
229 , 245.79 , 217.012524579
230 , 245.79 , 217.013699014
231 , 246.13 , 217.802822013
232 , 246.32 , 217.802822013
233 , 246.33 , 217.802822013
234 , 246.38 , 218.002685099
235 , 246.39 , 218.002685099
236 , 246.5 , 218.002685099
237 , 246.61 , 218.002685099
238 , 246.65 , 218.002685099
239 , 246.67 , 218.323761746
240 , 246.81 , 218.323761746
241 , 246.87 , 218.50522444
242 , 246.94 , 218.517833667
243 , 246.96 , 218.517833667
244 , 247.13 , 219.008391067
245 , 247.13 , 220.612880435
246 , 247.25 , 220.612880435
247 , 247.26 , 220.612880435
248 , 247.31 , 220.612880435
249 , 247.37 , 220.612880435
250 , 247.37 , 220.612880435
251 , 247.43 , 222.012410061
252 , 247.47 , 222.012410061
253 , 247.61 , 222.012410061
254 , 247.63 , 222.012410061
255 , 247.67 , 223.004030205
256 , 247.69 , 223.004030205
257 , 247.79 , 223.009852312
258 , 247.8 , 223.015243493
259 , 247.87 , 223.015243493
260 , 247.99 , 224.011388193
261 , 248.19 , 225.497039459
262 , 248.2 , 227.005612989
263 , 248.2 , 227.999369558
264 , 248.3 , 228.007138803
265 , 248.34 , 228.445559818
266 , 248.4 , 230.003165487
267 , 248.42 , 230.089545135
268 , 248.43 , 231.004217841
269 , 248.6 , 231.004217841
270 , 248.63 , 231.005695947
271 , 248.63 , 231.005695947
272 , 248.65 , 231.005695947
273 , 248.69 , 231.011898899
274 , 248.7 , 231.011898899
275 , 248.71 , 231.012693478
276 , 248.74 , 231.012693478
277 , 248.78 , 231.016299828
278 , 248.9 , 231.016299828
279 , 248.9 , 231.016299828
280 , 249.13 , 231.016299828
281 , 249.25 , 231.09775663
282 , 249.3 , 231.09775663
283 , 249.3 , 231.29077661
284 , 249.37 , 231.29077661
285 , 249.41 , 231.592786191
286 , 249.44 , 231.677927568
287 , 249.46 , 232.097366435
288 , 249.47 , 232.097366435
289 , 249.49 , 232.097366435
290 , 249.5 , 232.254984986
291 , 249.53 , 232.254984986
292 , 249.53 , 232.254984986
293 , 249.56 , 232.254984986
294 , 249.58 , 232.254984986
295 , 249.6 , 232.254984986
296 , 249.62 , 232.504300632
297 , 249.66 , 232.832166767
298 , 249.68 , 232.833927475
299 , 249.72 , 232.944094226
300 , 249.74 , 232.944094226
301 , 249.79 , 232.944094226
302 , 249.83 , 232.944094226
303 , 249.83 , 232.993377671
304 , 249.87 , 233.002812433
305 , 249.99 , 233.002812433
306 , 250.12 , 233.011372918
307 , 250.16 , 233.011372918
308 , 250.23 , 233.020405395
309 , 250.24 , 233.023255717
310 , 250.24 , 233.126417947
311 , 250.26 , 233.126417947
312 , 250.28 , 233.519403357
313 , 250.34 , 233.638759541
314 , 250.37 , 233.638759541
315 , 250.4 , 233.758969961
316 , 250.44 , 233.892871434
317 , 250.45 , 233.892871434
318 , 250.48 , 233.980460008
319 , 250.5 , 233.993000958
320 , 250.53 , 234.001439615
321 , 250.57 , 234.004531439
322 , 250.6 , 234.004531439
323 , 250.6 , 234.005572046
324 , 250.61 , 234.005572046
325 , 250.67 , 234.006197167
326 , 250.75 , 234.006197167
327 , 250.87 , 234.006904548
328 , 250.88 , 234.006904548
329 , 251.1 , 234.008956225
330 , 251.15 , 234.008956225
331 , 251.16 , 234.011825472
332 , 251.2 , 234.011825472
333 , 251.24 , 234.01298373
334 , 251.24 , 234.01298373
335 , 251.25 , 234.052502603
336 , 251.25 , 234.113697253
337 , 251.3 , 234.113697253
338 , 251.31 , 234.36097444
339 , 251.32 , 234.452397778
340 , 251.33 , 234.500789419
341 , 251.36 , 234.556942776
342 , 251.43 , 234.731852407
343 , 251.52 , 234.960398049
344 , 251.57 , 234.960438806
345 , 251.71 , 235.01205112
346 , 251.74 , 235.01205112
347 , 251.79 , 235.014485432
348 , 251.81 , 235.018096455
349 , 251.85 , 235.018096455
350 , 251.9 , 235.018096455
351 , 251.91 , 235.033851664
352 , 251.91 , 235.033851664
353 , 251.93 , 235.038894004
354 , 251.98 , 235.083846033
355 , 252.13 , 235.084944832
356 , 252.18 , 235.084944832
357 , 252.21 , 235.20705339
358 , 252.27 , 235.257404717
359 , 252.28 , 235.257404717
360 , 252.37 , 235.505915643
361 , 252.43 , 235.51441636
362 , 252.5 , 235.944154156
363 , 252.52 , 236.003748687
364 , 252.62 , 236.006274218
365 , 252.75 , 236.012172945
366 , 252.77 , 236.535773265
367 , 252.81 , 236.535773265
368 , 252.82 , 236.804202126
369 , 252.84 , 236.804202126
370 , 252.87 , 236.804202126
371 , 252.89 , 236.804202126
372 , 252.93 , 236.990513337
373 , 252.99 , 237.002000439
374 , 253.12 , 237.002000439
375 , 253.15 , 237.002000439
376 , 253.39 , 237.002000439
377 , 253.47 , 237.002268173
378 , 253.49 , 237.002268173
379 , 253.51 , 237.002268173
380 , 253.54 , 237.006635526
381 , 253.57 , 237.006635526
382 , 253.74 , 237.013681218
383 , 253.74 , 237.013681218
384 , 253.82 , 237.013681218
385 , 253.98 , 237.013681218
386 , 254.12 , 237.016117484
387 , 254.27 , 237.016117484
388 , 254.34 , 238.003875688
389 , 254.39 , 238.003875688
390 , 254.42 , 238.014850124
391 , 254.42 , 238.014850124
392 , 254.47 , 238.036724045
393 , 254.5 , 243.01880059
394 , 254.59 , 243.01880059
395 , 254.73 , 243.20509631
396 , 255.12 , 243.20509631
397 , 255.13 , 243.955548208
398 , 255.17 , 244.014004859
399 , 255.21 , 244.014004859
400 , 255.32 , 244.021312313
401 , 255.42 , 244.021312313
402 , 255.43 , 246.012155886
403 , 255.44 , 246.012155886
404 , 255.64 , 246.013152106
405 , 256.22 , 246.013152106
406 , 256.23 , 246.109896762
407 , 256.25 , 247.624357656
408 , 256.6 , 247.624357656
409 , 256.94 , 247.664273998
410 , 257.17 , 248.01624956
411 , 257.33 , 248.01624956
412 , 257.43 , 248.02609904
413 , 257.68 , 248.072727468
414 , 257.71 , 248.396881945
415 , 258.16 , 249.126020862
416 , 258.23 , 249.126020862
417 , 258.56 , 249.500207717
418 , 258.9 , 250.012896963
419 , 259.26 , 254.511361576
420 , 259.37 , 254.952511264
421 , 259.38 , 255.009788911
422 , 259.38 , 255.009788911
423 , 259.39 , 255.466850764
424 , 259.5 , 255.466850764
425 , 259.69 , 255.96130652
426 , 259.76 , 255.96130652
427 , 260.17 , 255.96130652
428 , 260.17 , 256.004434471
429 , 260.33 , 256.004434471
430 , 260.41 , 256.73144731
431 , 260.5 , 256.73144731
432 , 260.77 , 256.73144731
433 , 260.82 , 256.73144731
434 , 260.88 , 256.73144731
435 , 261.13 , 256.73144731
436 , 261.36 , 256.947017179
437 , 261.43 , 256.947017179
438 , 261.44 , 257.006729494
439 , 261.53 , 257.006729494
440 , 261.68 , 257.006729494
441 , 261.69 , 257.007017179
442 , 261.77 , 257.007017179
443 , 261.84 , 257.007017179
444 , 261.85 , 257.007017179
445 , 261.9 , 260.003568724
446 , 261.9 , 260.003568724
447 , 262.22 , 260.015141139
448 , 262.48 , 260.015141139
449 , 262.6 , 260.016641464
450 , 262.66 , 260.016641464
451 , 262.67 , 260.016641464
452 , 262.68 , 260.016641464
453 , 262.74 , 261.174108941
454 , 262.95 , 261.174108941
455 , 263.13 , 261.174108941
456 , 263.19 , 261.174108941
457 , 263.31 , 261.510747828
458 , 263.43 , 261.510747828
459 , 263.57 , 261.51181406
460 , 263.58 , 261.51181406
461 , 263.58 , 261.51181406
462 , 263.72 , 261.688767349
463 , 263.75 , 261.688767349
464 , 263.78 , 261.688767349
465 , 263.79 , 262.520460447
466 , 264.16 , 262.520460447
467 , 264.17 , 262.655062067
468 , 264.18 , 262.655062067
469 , 264.18 , 262.939612103
470 , 264.29 , 262.939612103
471 , 264.4 , 262.939612103
472 , 264.47 , 262.964515247
473 , 264.51 , 262.964515247
474 , 264.6 , 263.015370243
475 , 264.6 , 263.015370243
476 , 264.64 , 263.015370243
477 , 264.74 , 263.015370243
478 , 264.93 , 263.546302224
479 , 264.93 , 263.546302224
480 , 264.99 , 263.546302224
481 , 265.38 , 263.576567731
482 , 265.4 , 263.576567731
483 , 265.65 , 263.576567731
484 , 265.69 , 263.576567731
485 , 266.11 , 263.576567731
486 , 266.12 , 263.576567731
487 , 266.19 , 264.003232012
488 , 266.21 , 264.003232012
489 , 266.27 , 264.003232012
490 , 266.32 , 264.01074899
491 , 266.39 , 264.01074899
492 , 266.45 , 264.01074899
493 , 266.48 , 264.01074899
494 , 266.52 , 264.945937292
495 , 266.54 , 264.945937292
496 , 266.93 , 264.945937292
497 , 266.97 , 265.079523046
498 , 267.17 , 265.079523046
499 , 267.28 , 265.079523046
500 , 267.32 , 265.079523046
501 , 267.43 , 265.958413389
502 , 267.43 , 265.958413389
503 , 267.7 , 266.005236736
504 , 267.85 , 266.005236736
505 , 268.38 , 266.005236736
506 , 268.41 , 266.005236736
507 , 268.42 , 269.010974686
508 , 268.58 , 269.010974686
509 , 268.8 , 269.010974686
510 , 269.38 , 269.010974686
511 , 269.52 , 269.010974686
