Feature,Before,After
191 , 13.42 , 13.5034066122
192 , 13.42 , 13.50512
193 , 13.423 , 13.5054542227
194 , 13.423 , 13.5060189097
195 , 13.424 , 13.5060566896
196 , 13.424 , 13.50611
197 , 13.424 , 13.5087334902
198 , 13.426 , 13.5095951048
199 , 13.429 , 13.509687876
200 , 13.43 , 13.5097915848
201 , 13.43 , 13.510342817
202 , 13.43 , 13.5114106887
203 , 13.432 , 13.5125336374
204 , 13.433 , 13.5136976879
205 , 13.435 , 13.5136976879
206 , 13.435 , 13.5138585679
207 , 13.436 , 13.5170301063
208 , 13.439 , 13.5173136956
209 , 13.44 , 13.518165625
210 , 13.444 , 13.5184442589
211 , 13.445 , 13.5185026259
212 , 13.445 , 13.5186013187
213 , 13.445 , 13.5195221813
214 , 13.449 , 13.5195899944
215 , 13.449 , 13.5195899944
216 , 13.449 , 13.5195899944
217 , 13.451 , 13.5195899944
218 , 13.458 , 13.5195899944
219 , 13.459 , 13.5212451048
220 , 13.459 , 13.5222396412
221 , 13.46 , 13.5222396412
222 , 13.462 , 13.5222396412
223 , 13.466 , 13.5223731579
224 , 13.468 , 13.5223764516
225 , 13.469 , 13.5224692322
226 , 13.471 , 13.5228466882
227 , 13.474 , 13.5231346078
228 , 13.474 , 13.5235327011
229 , 13.477 , 13.5242809353
230 , 13.478 , 13.5250502417
231 , 13.48 , 13.5252071628
232 , 13.48 , 13.5252345116
233 , 13.482 , 13.5253129447
234 , 13.487 , 13.5261657161
235 , 13.489 , 13.526824039
236 , 13.491 , 13.5269997557
237 , 13.493 , 13.5273464252
238 , 13.493 , 13.529257
239 , 13.494 , 13.5299525582
240 , 13.496 , 13.5299525582
241 , 13.499 , 13.5299525582
242 , 13.506 , 13.5299525582
243 , 13.507 , 13.5299525582
244 , 13.507 , 13.5299525582
245 , 13.508 , 13.5299525582
246 , 13.509 , 13.5309143224
247 , 13.515 , 13.5309849318
248 , 13.516 , 13.531998227
249 , 13.517 , 13.53202
250 , 13.518 , 13.5322547776
251 , 13.524 , 13.5322547776
252 , 13.525 , 13.5322547776
253 , 13.526 , 13.5322547776
254 , 13.528 , 13.5322547776
255 , 13.531 , 13.5330907527
256 , 13.532 , 13.5344910158
257 , 13.533 , 13.5345377816
258 , 13.535 , 13.5346564785
259 , 13.535 , 13.5349440859
260 , 13.536 , 13.5353912005
261 , 13.536 , 13.5357843906
262 , 13.54 , 13.5357843906
263 , 13.54 , 13.5372093198
264 , 13.541 , 13.5381505556
265 , 13.542 , 13.5381505556
266 , 13.543 , 13.5399143807
267 , 13.545 , 13.5410296533
268 , 13.55 , 13.5410296533
269 , 13.55 , 13.5410296533
270 , 13.554 , 13.5413426316
271 , 13.558 , 13.5423534902
272 , 13.56 , 13.5427564962
273 , 13.561 , 13.54418
274 , 13.562 , 13.5457031713
275 , 13.567 , 13.5461620526
276 , 13.57 , 13.5463793077
277 , 13.574 , 13.5465088979
278 , 13.574 , 13.5475816203
279 , 13.576 , 13.5477670431
280 , 13.585 , 13.5496038681
281 , 13.588 , 13.5502726371
282 , 13.588 , 13.5517843733
283 , 13.591 , 13.5540398579
284 , 13.591 , 13.5543613564
285 , 13.592 , 13.55509
286 , 13.594 , 13.5558829335
287 , 13.595 , 13.5570095351
288 , 13.599 , 13.5572
289 , 13.599 , 13.5572542589
290 , 13.601 , 13.5577335338
291 , 13.601 , 13.5577335338
292 , 13.609 , 13.5582053965
293 , 13.609 , 13.5588614676
294 , 13.609 , 13.5605051295
295 , 13.609 , 13.5606513564
296 , 13.61 , 13.5635420526
297 , 13.611 , 13.56465
298 , 13.611 , 13.56465
299 , 13.614 , 13.5649384648
300 , 13.615 , 13.5657376401
301 , 13.616 , 13.5660526259
302 , 13.618 , 13.5664120526
303 , 13.618 , 13.5668713564
304 , 13.62 , 13.5681413413
305 , 13.622 , 13.56846
306 , 13.623 , 13.568632
307 , 13.627 , 13.57257
308 , 13.629 , 13.5727918579
309 , 13.631 , 13.5728753331
310 , 13.632 , 13.5733711695
311 , 13.632 , 13.5740748856
312 , 13.632 , 13.5749219454
313 , 13.636 , 13.5774921284
314 , 13.636 , 13.5776716913
315 , 13.637 , 13.5790997199
316 , 13.646 , 13.5795536133
317 , 13.647 , 13.5800790103
318 , 13.647 , 13.5803715867
319 , 13.649 , 13.5808
320 , 13.649 , 13.5811905837
321 , 13.649 , 13.5816313783
322 , 13.651 , 13.5818916913
323 , 13.655 , 13.5820139419
324 , 13.655 , 13.5829498721
325 , 13.657 , 13.5842382013
326 , 13.657 , 13.5853153842
327 , 13.657 , 13.585502284
328 , 13.659 , 13.5859735338
329 , 13.659 , 13.5865335714
330 , 13.659 , 13.5871804811
331 , 13.663 , 13.5876258183
332 , 13.668 , 13.5881213564
333 , 13.671 , 13.5882103116
334 , 13.671 , 13.5882933885
335 , 13.671 , 13.5887860049
336 , 13.672 , 13.5898204811
337 , 13.672 , 13.59103
338 , 13.674 , 13.59223
339 , 13.677 , 13.592826282
340 , 13.678 , 13.5929668584
341 , 13.684 , 13.5941122122
342 , 13.684 , 13.5958208849
343 , 13.686 , 13.59748
344 , 13.687 , 13.5978508152
345 , 13.687 , 13.5978508152
346 , 13.689 , 13.5978508152
347 , 13.69 , 13.59797
348 , 13.692 , 13.5997231776
349 , 13.696 , 13.5997477724
350 , 13.698 , 13.60137
351 , 13.699 , 13.602213648
352 , 13.702 , 13.6032747269
353 , 13.703 , 13.6033639587
354 , 13.705 , 13.604173648
355 , 13.705 , 13.6042359022
356 , 13.709 , 13.6047360417
357 , 13.712 , 13.6057334024
358 , 13.714 , 13.6058342295
359 , 13.716 , 13.6060040906
360 , 13.719 , 13.608107638
361 , 13.719 , 13.610222397
362 , 13.72 , 13.6103235422
363 , 13.723 , 13.6104715755
364 , 13.723 , 13.6111675541
365 , 13.724 , 13.61144
366 , 13.725 , 13.6118756767
367 , 13.728 , 13.6126666548
368 , 13.73 , 13.6131
369 , 13.73 , 13.614914538
370 , 13.731 , 13.6152153965
371 , 13.731 , 13.615995356
372 , 13.731 , 13.6160982334
373 , 13.735 , 13.6164209588
374 , 13.736 , 13.6174876812
375 , 13.745 , 13.6176417177
376 , 13.746 , 13.617725147
377 , 13.746 , 13.6198588315
378 , 13.748 , 13.6200574687
379 , 13.75 , 13.62059
380 , 13.753 , 13.623195161
381 , 13.754 , 13.6242668276
382 , 13.754 , 13.6257064291
383 , 13.755 , 13.6258821181
384 , 13.756 , 13.625909661
385 , 13.759 , 13.6262968276
386 , 13.76 , 13.6262968276
387 , 13.76 , 13.6262968276
388 , 13.761 , 13.6262968276
389 , 13.761 , 13.62697
390 , 13.763 , 13.6273618825
391 , 13.764 , 13.6276921053
392 , 13.765 , 13.6285699683
393 , 13.766 , 13.6293203276
394 , 13.767 , 13.631002397
395 , 13.767 , 13.6310715283
396 , 13.768 , 13.6314283421
397 , 13.768 , 13.63143
398 , 13.771 , 13.6325216084
399 , 13.778 , 13.6333258437
400 , 13.778 , 13.6337833479
401 , 13.779 , 13.634702284
402 , 13.782 , 13.634766383
403 , 13.782 , 13.634766383
404 , 13.784 , 13.634766383
405 , 13.787 , 13.634766383
406 , 13.787 , 13.634766383
407 , 13.787 , 13.6351123713
408 , 13.788 , 13.63514
409 , 13.788 , 13.635532475
410 , 13.794 , 13.635532475
411 , 13.795 , 13.6364068276
412 , 13.795 , 13.63643
413 , 13.797 , 13.6379698913
414 , 13.802 , 13.6381287961
415 , 13.802 , 13.6398236296
416 , 13.802 , 13.6412607443
417 , 13.804 , 13.64129
418 , 13.804 , 13.6420123713
419 , 13.806 , 13.6422576508
420 , 13.808 , 13.6425083988
421 , 13.809 , 13.64282933
422 , 13.81 , 13.6444464292
423 , 13.811 , 13.6452823713
424 , 13.812 , 13.6452823713
425 , 13.813 , 13.6454726371
426 , 13.814 , 13.6454996445
427 , 13.814 , 13.646416538
428 , 13.816 , 13.64693
429 , 13.817 , 13.6474040699
430 , 13.817 , 13.6474323713
431 , 13.817 , 13.6487737861
432 , 13.818 , 13.6496560757
433 , 13.82 , 13.6498319584
434 , 13.82 , 13.6502882509
435 , 13.82 , 13.6503782461
436 , 13.823 , 13.6503782461
437 , 13.827 , 13.65069
438 , 13.835 , 13.6518423713
439 , 13.838 , 13.6529765836
440 , 13.838 , 13.6530803049
441 , 13.84 , 13.6533329972
442 , 13.84 , 13.6536216319
443 , 13.841 , 13.6545076615
444 , 13.842 , 13.6549102783
445 , 13.844 , 13.6549361715
446 , 13.846 , 13.6549361715
447 , 13.849 , 13.65598
448 , 13.849 , 13.656024212
449 , 13.852 , 13.6560310681
450 , 13.852 , 13.6565876039
451 , 13.853 , 13.65707
452 , 13.857 , 13.6572282461
453 , 13.857 , 13.6586886626
454 , 13.858 , 13.6590840055
455 , 13.861 , 13.6594945125
456 , 13.862 , 13.6602385246
457 , 13.863 , 13.6602385246
458 , 13.863 , 13.6602454259
459 , 13.864 , 13.66076
460 , 13.864 , 13.6610717782
461 , 13.864 , 13.66129
462 , 13.867 , 13.6615469213
463 , 13.869 , 13.6637490476
464 , 13.87 , 13.663820239
465 , 13.872 , 13.6639167857
466 , 13.872 , 13.6647406122
467 , 13.873 , 13.66502
468 , 13.873 , 13.6652927451
469 , 13.873 , 13.6656173589
470 , 13.875 , 13.66658
471 , 13.876 , 13.6669703329
472 , 13.877 , 13.6680728571
473 , 13.878 , 13.6694921246
474 , 13.879 , 13.6700938932
475 , 13.88 , 13.671228679
476 , 13.881 , 13.6715876508
477 , 13.881 , 13.6718479025
478 , 13.882 , 13.6729052277
479 , 13.883 , 13.6732147008
480 , 13.885 , 13.6750744899
481 , 13.885 , 13.6753532388
482 , 13.886 , 13.6755226265
483 , 13.886 , 13.6760431348
484 , 13.887 , 13.67668
485 , 13.887 , 13.67709
486 , 13.888 , 13.6773382509
487 , 13.889 , 13.6773382509
488 , 13.889 , 13.6777023404
489 , 13.889 , 13.6777332277
490 , 13.89 , 13.6788713751
491 , 13.892 , 13.6788813545
492 , 13.892 , 13.6788813545
493 , 13.894 , 13.6790729447
494 , 13.896 , 13.6799506122
495 , 13.896 , 13.6825394231
496 , 13.897 , 13.6841000206
497 , 13.898 , 13.6857048397
498 , 13.902 , 13.6857898997
499 , 13.903 , 13.6857898997
500 , 13.904 , 13.6871589002
501 , 13.906 , 13.6880184838
502 , 13.906 , 13.6890824058
503 , 13.909 , 13.6896800056
504 , 13.91 , 13.6906729975
505 , 13.915 , 13.691229748
506 , 13.917 , 13.69129
507 , 13.919 , 13.69129
508 , 13.922 , 13.69129
509 , 13.923 , 13.69129
510 , 13.923 , 13.691775997
511 , 13.924 , 13.6919500354
512 , 13.926 , 13.6923089693
513 , 13.926 , 13.6925137409
514 , 13.929 , 13.6927628409
515 , 13.929 , 13.6927727288
516 , 13.93 , 13.6929185679
517 , 13.93 , 13.6929185679
518 , 13.931 , 13.6931843926
519 , 13.931 , 13.6932617161
520 , 13.932 , 13.69346
521 , 13.935 , 13.69346
522 , 13.935 , 13.6945813395
523 , 13.936 , 13.6951267624
524 , 13.937 , 13.6956103267
525 , 13.937 , 13.6956346247
526 , 13.937 , 13.69658
527 , 13.938 , 13.6968314286
528 , 13.938 , 13.6974216605
529 , 13.939 , 13.697647551
530 , 13.939 , 13.698033126
531 , 13.94 , 13.6989722562
532 , 13.942 , 13.6992865195
533 , 13.944 , 13.6997176
534 , 13.945 , 13.6997176
535 , 13.946 , 13.6998127288
536 , 13.946 , 13.7000051611
537 , 13.947 , 13.7024939715
538 , 13.948 , 13.7037339413
539 , 13.949 , 13.7044344644
540 , 13.95 , 13.7048445067
541 , 13.95 , 13.7049919546
542 , 13.951 , 13.7050630252
543 , 13.952 , 13.7052647619
544 , 13.955 , 13.7053997813
545 , 13.955 , 13.7065235338
546 , 13.956 , 13.70658
547 , 13.959 , 13.7066903049
548 , 13.96 , 13.70794
549 , 13.96 , 13.7082475
550 , 13.961 , 13.70908
551 , 13.963 , 13.70974537
552 , 13.964 , 13.7100531348
553 , 13.964 , 13.7102296126
554 , 13.965 , 13.7105352203
555 , 13.965 , 13.7105668118
556 , 13.965 , 13.7112431985
557 , 13.967 , 13.7115853523
558 , 13.968 , 13.7118885246
559 , 13.968 , 13.7118885246
560 , 13.972 , 13.7128597436
561 , 13.972 , 13.7131539411
562 , 13.972 , 13.7131903007
563 , 13.973 , 13.71326
564 , 13.973 , 13.7135586031
565 , 13.974 , 13.713790545
566 , 13.974 , 13.7140182681
567 , 13.975 , 13.7140288265
568 , 13.975 , 13.714212
569 , 13.976 , 13.7144194245
570 , 13.976 , 13.7145852014
571 , 13.978 , 13.7147508194
572 , 13.979 , 13.71524
573 , 13.979 , 13.71524
574 , 13.98 , 13.71524
575 , 13.98 , 13.71524
576 , 13.981 , 13.71524
577 , 13.981 , 13.7158649342
578 , 13.982 , 13.7162915149
579 , 13.983 , 13.717178318
580 , 13.983 , 13.7172637204
581 , 13.988 , 13.7173609295
582 , 13.99 , 13.717422469
583 , 13.992 , 13.7180714187
584 , 13.993 , 13.7184328786
585 , 13.994 , 13.7184328786
586 , 13.995 , 13.7196920544
587 , 13.995 , 13.7205966891
588 , 13.996 , 13.7212009247
589 , 13.997 , 13.72125
590 , 13.997 , 13.7213361064
591 , 13.997 , 13.7213361064
592 , 13.998 , 13.7213361064
593 , 14.0 , 13.7214587741
594 , 14.002 , 13.7223651901
595 , 14.003 , 13.7233082461
596 , 14.003 , 13.72485
597 , 14.003 , 13.7249823782
598 , 14.004 , 13.7252099194
599 , 14.005 , 13.7255796126
600 , 14.005 , 13.7257544993
601 , 14.006 , 13.7259893563
602 , 14.007 , 13.7260820711
603 , 14.008 , 13.72632
604 , 14.01 , 13.726545177
605 , 14.011 , 13.7267320544
606 , 14.012 , 13.7269497688
607 , 14.012 , 13.7270216183
608 , 14.012 , 13.7272937309
609 , 14.013 , 13.7274733816
610 , 14.013 , 13.7281796126
611 , 14.016 , 13.7281886522
612 , 14.017 , 13.7283308493
613 , 14.017 , 13.7288686498
614 , 14.018 , 13.7294714471
615 , 14.019 , 13.7300449342
616 , 14.019 , 13.730300545
617 , 14.019 , 13.7306386284
618 , 14.02 , 13.73088
619 , 14.021 , 13.7318290206
620 , 14.021 , 13.7326351179
621 , 14.022 , 13.7328733316
622 , 14.026 , 13.7332147008
623 , 14.026 , 13.7334053786
624 , 14.028 , 13.7340523143
625 , 14.029 , 13.7344757021
626 , 14.031 , 13.7345849342
627 , 14.032 , 13.73524
628 , 14.032 , 13.7359670884
629 , 14.036 , 13.7361333316
630 , 14.036 , 13.7367986939
631 , 14.036 , 13.7371613172
632 , 14.038 , 13.7374403049
633 , 14.039 , 13.7379869798
634 , 14.039 , 13.7388686939
635 , 14.04 , 13.7390828544
636 , 14.041 , 13.7397213332
637 , 14.041 , 13.7401022958
638 , 14.041 , 13.7412895491
639 , 14.041 , 13.7423013848
640 , 14.042 , 13.7423631992
641 , 14.042 , 13.7425687172
642 , 14.043 , 13.7428581598
643 , 14.044 , 13.7450330607
644 , 14.045 , 13.7454769931
645 , 14.045 , 13.7455825024
646 , 14.045 , 13.7455825024
647 , 14.048 , 13.7455825024
648 , 14.048 , 13.7456519211
649 , 14.049 , 13.7457349342
650 , 14.049 , 13.7459353027
651 , 14.05 , 13.7461228544
652 , 14.052 , 13.74632
653 , 14.052 , 13.7470905
654 , 14.053 , 13.7483632388
655 , 14.054 , 13.7487330237
656 , 14.054 , 13.7500003236
657 , 14.055 , 13.7500304953
658 , 14.055 , 13.7508508671
659 , 14.055 , 13.7510411501
660 , 14.056 , 13.7514032237
661 , 14.057 , 13.7516605577
662 , 14.057 , 13.7536038648
663 , 14.062 , 13.7539046071
664 , 14.065 , 13.7550296126
665 , 14.065 , 13.7574137037
666 , 14.066 , 13.7589890005
667 , 14.067 , 13.7589999945
668 , 14.068 , 13.7606720544
669 , 14.069 , 13.7607482509
670 , 14.071 , 13.7609821206
671 , 14.072 , 13.7612871467
672 , 14.073 , 13.7625020527
673 , 14.074 , 13.7633903049
674 , 14.075 , 13.7633903049
675 , 14.077 , 13.7633903049
676 , 14.077 , 13.7641989447
677 , 14.08 , 13.764349459
678 , 14.081 , 13.7643533272
679 , 14.081 , 13.7649
680 , 14.082 , 13.7651092478
681 , 14.084 , 13.7653520544
682 , 14.084 , 13.7653520544
683 , 14.085 , 13.7653520544
684 , 14.086 , 13.7653785511
685 , 14.087 , 13.7658112863
686 , 14.088 , 13.7662942987
687 , 14.09 , 13.7670135
688 , 14.091 , 13.7671131438
689 , 14.092 , 13.7677120544
690 , 14.092 , 13.76798
691 , 14.092 , 13.7683429917
692 , 14.093 , 13.77
693 , 14.094 , 13.7702426259
694 , 14.094 , 13.77129
695 , 14.095 , 13.7717309295
696 , 14.095 , 13.7717309295
697 , 14.095 , 13.7723920544
698 , 14.097 , 13.7723920544
699 , 14.099 , 13.7731126824
700 , 14.099 , 13.7731747887
701 , 14.099 , 13.7738623645
702 , 14.1 , 13.7748511303
703 , 14.102 , 13.77548
704 , 14.103 , 13.7755920544
705 , 14.103 , 13.7757535714
706 , 14.104 , 13.7757535714
707 , 14.106 , 13.7757535714
708 , 14.107 , 13.7757535714
709 , 14.108 , 13.7761806122
710 , 14.108 , 13.7773296126
711 , 14.108 , 13.7774170915
712 , 14.109 , 13.7777697702
713 , 14.11 , 13.7787879197
714 , 14.113 , 13.7792258182
715 , 14.113 , 13.7823090786
716 , 14.113 , 13.7823685246
717 , 14.114 , 13.7826522845
718 , 14.115 , 13.7827475712
719 , 14.119 , 13.7833132012
720 , 14.12 , 13.7838083894
721 , 14.12 , 13.7843224919
722 , 14.12 , 13.7851052911
